Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Individual,infection,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,Time
SRR3471670,RNA-Seq,100,3209384000,PRJNA320361,SAMN04932914,2318131601,macrophage,GEO,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1739028,GSM2141285,AF57,Non-infected,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-09-07T00:00:00Z,2016-05-03T11:09:00Z,1,GSM2141285,Macrophages,SRP074274,2 hr
SRR3471671,RNA-Seq,100,4809979600,PRJNA320361,SAMN04932915,3470519139,macrophage,GEO,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1739029,GSM2141286,AF57,Salmonella,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-09-07T00:00:00Z,2016-05-03T11:05:00Z,1,GSM2141286,Macrophages,SRP074274,2 hr
SRR3471672,RNA-Seq,100,3206905800,PRJNA320361,SAMN04932916,2191855986,macrophage,GEO,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1739030,GSM2141287,AF59,Listeria,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-09-07T00:00:00Z,2016-05-03T11:59:00Z,1,GSM2141287,Macrophages,SRP074274,2 hr
SRR3471673,RNA-Seq,100,3608718900,PRJNA320361,SAMN04932917,2468408877,macrophage,GEO,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1739031,GSM2141288,AF59,Non-infected,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-09-07T00:00:00Z,2016-05-03T12:10:00Z,1,GSM2141288,Macrophages,SRP074274,2 hr
SRR3471674,RNA-Seq,100,2149080800,PRJNA320361,SAMN04932918,1467783404,macrophage,GEO,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1739032,GSM2141289,AF59,Salmonella,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-09-07T00:00:00Z,2016-05-03T12:04:00Z,1,GSM2141289,Macrophages,SRP074274,2 hr
SRR3471675,RNA-Seq,100,3835915200,PRJNA320361,SAMN04932919,2728779415,macrophage,GEO,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1739033,GSM2141290,AF61,Listeria,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-09-07T00:00:00Z,2016-05-03T12:04:00Z,1,GSM2141290,Macrophages,SRP074274,2 hr
SRR3471676,RNA-Seq,100,3828959300,PRJNA320361,SAMN04932920,2720909433,macrophage,GEO,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1739034,GSM2141291,AF61,Non-infected,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-09-07T00:00:00Z,2016-05-03T12:06:00Z,1,GSM2141291,Macrophages,SRP074274,2 hr
SRR3471677,RNA-Seq,100,3364600500,PRJNA320361,SAMN04932921,2384267780,macrophage,GEO,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1739035,GSM2141292,AF61,Salmonella,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-09-07T00:00:00Z,2016-05-03T11:07:00Z,1,GSM2141292,Macrophages,SRP074274,2 hr
SRR3471678,RNA-Seq,100,3372931400,PRJNA320361,SAMN04932922,2402975790,macrophage,GEO,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1739036,GSM2141293,AF63,Listeria,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-09-07T00:00:00Z,2016-05-03T11:14:00Z,1,GSM2141293,Macrophages,SRP074274,2 hr
SRR3471679,RNA-Seq,100,3469142100,PRJNA320361,SAMN04932923,2471813624,macrophage,GEO,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1739037,GSM2141294,AF63,Non-infected,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-09-07T00:00:00Z,2016-05-03T12:08:00Z,1,GSM2141294,Macrophages,SRP074274,2 hr
